geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d013868,27.20281465,2.486607634,0.784799109,3.168463884,0.001532468,0.006991957
Zm00001d044293,58.96910646,2.50233702,0.824113947,3.036396884,0.00239424,0.010204896
Zm00001d005003,22.53101276,2.517060325,0.777772999,3.236240304,0.001211154,0.005728599
Zm00001d026055,41.27381802,2.536661652,0.587353647,4.318797826,1.57E-05,0.000131424
Zm00001d018609,32.71975975,2.548359656,0.673539865,3.783532035,0.000154618,0.000976115
Zm00001d036510,36.22430647,2.743900078,1.113093935,2.465110977,0.013697082,0.044098668
Zm00001d039324,30.88550103,2.853183205,0.742204174,3.844202585,0.000120945,0.000788158
Zm00001d050090,21.03779417,2.858426933,1.133866196,2.520956126,0.011703644,0.03864957
Zm00001d012553,13.77329634,2.935897186,1.119105662,2.623431624,0.008704892,0.030257473
Zm00001d013468,26.40844662,2.984916309,1.189153679,2.510118214,0.012069075,0.039631809
Zm00001d000380,17.75710909,3.013387677,1.159869117,2.598041135,0.009375726,0.032178562
Zm00001d008728,18.49718324,3.031056021,1.208976998,2.507124641,0.012171778,0.039921794
Zm00001d003399,32.83471194,3.037015597,0.706080078,4.301233942,1.70E-05,0.000140809
Zm00001d048493,27.45070543,3.057665625,1.086523045,2.814174664,0.004890265,0.01855986
Zm00001d028356,10.8242707,3.146105367,1.286749464,2.445002275,0.014485123,0.046179614
Zm00001d020362,37.72474309,3.153939738,1.143588123,2.757933276,0.005816807,0.021505544
